Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,STOP,366.600,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,10987,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,digging,,START,367.267,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,11007,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,digging,,STOP,368.602,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,11047,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,START,368.635,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,11048,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,STOP,370.837,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,11114,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,"startpeanut0,3",,POINT,460.026,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,13787,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,START,463.663,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,13896,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,STOP,484.951,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,14534,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,sniffing,,POINT,486.119,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,14569,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,sniffing,,POINT,487.854,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,14621,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,bending,,START,487.921,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,14623,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,bending,,STOP,488.221,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,14632,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,grabbing peanut,,POINT,488.221,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,14632,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,lifting,,START,488.254,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,14633,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,lifting,,STOP,488.888,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,14652,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,START,489.689,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,14676,NA,
